"","rated","turns","victory_status","winner","increment_code","white_id","white_rating","black_id","black_rating","opening_name","shortname","avgrating","starttime","gametype"
"1","TRUE",61,"mate","white","5+10","ischia",1496,"a-00",1500,"King's Pawn Game: Leonardis Variation","King's Pawn Game",1498,"5","Blitz"
"2","TRUE",61,"mate","white","20+0","daniamurashov",1439,"adivanov2009",1454,"Queen's Pawn Game: Zukertort Variation","Queen's Pawn Game",1446.5,"20","Classical"
"3","FALSE",5,"draw","draw","10+0","trelynn17",1250,"franklin14532",1002,"Sicilian Defense: Mongoose Variation","Sicilian Defense",1126,"10","Classical"
"4","TRUE",66,"resign","black","15+0","ehabfanri",1439,"daniel_likes_chess",1392,"Italian Game: Schilling-Kostic Gambit","Italian Game",1415.5,"15","Classical"
"5","TRUE",119,"mate","white","10+0","daniel_likes_chess",1381,"mirco25",1209,"Scandinavian Defense: Mieses-Kotroc Variation","Scandinavian Defense",1295,"10","Classical"
"6","FALSE",39,"mate","white","20+60","daniel_likes_chess",1381,"anaissac",1272,"Van't Kruijs Opening","Van't Kruijs Opening",1326.5,"20","Classical"
"7","FALSE",38,"resign","black","20+60","daniel_likes_chess",1381,"subham777",1867,"French Defense: Advance Variation |  Paulsen Attack","French Defense",1624,"20","Classical"
"8","FALSE",60,"resign","black","5+40","daniel_likes_chess",1381,"roman12342005",1936,"French Defense: Knight Variation","French Defense",1658.5,"5","Blitz"
"9","FALSE",31,"mate","white","15+15","shivangithegenius",1094,"sureka_akshat",1141,"Four Knights Game: Italian Variation","Four Knights Game",1117.5,"15","Classical"
"10","FALSE",43,"resign","black","15+15","sureka_akshat",1141,"shivangithegenius",1094,"Italian Game: Two Knights Defense |  Knight Attack","Italian Game",1117.5,"15","Classical"
"11","FALSE",52,"resign","black","15+15","shivangithegenius",1094,"sureka_akshat",1141,"Four Knights Game: Italian Variation","Four Knights Game",1117.5,"15","Classical"
"12","FALSE",66,"mate","black","15+16","sureka_akshat",1141,"shivangithegenius",1094,"Four Knights Game: Italian Variation","Four Knights Game",1117.5,"15","Classical"
"13","FALSE",25,"resign","white","11+0","g-ios",1500,"shivangithegenius",1094,"Queen's Pawn Game","Queen's Pawn Game",1297,"11","Classical"
"14","FALSE",14,"resign","black","15+15","shivangithegenius",1094,"lex_v1",1676,"Italian Game: Anti-Fried Liver Defense","Italian Game",1385,"15","Classical"
"15","FALSE",17,"resign","white","15+5","storm28rus",1500,"shivangithegenius",1094,"Sicilian Defense: Bowdler Attack","Sicilian Defense",1297,"15","Classical"
"16","TRUE",36,"resign","white","10+0","robotsmoke",1307,"shivangithegenius",1106,"English Opening: King's English Variation |  Reversed Closed Sicilian","English Opening",1206.5,"10","Classical"
"17","TRUE",13,"resign","black","10+0","shivangithegenius",1113,"ivangonzalez123",1423,"Sicilian Defense: Smith-Morra Gambit #2","Sicilian Defense",1268,"10","Classical"
"18","TRUE",69,"mate","white","10+10","shivangithegenius",1078,"sureka_akshat",1219,"Queen's Pawn Game: Chigorin Variation","Queen's Pawn Game",1148.5,"10","Classical"
"19","TRUE",43,"resign","white","10+10","gmcarlsen403",1825,"shivangithegenius",1079,"Scotch Game: Haxo Gambit","Scotch Game",1452,"10","Classical"
"20","TRUE",54,"mate","black","10+10","mannat1",1328,"shivangithegenius",1038,"Queen's Pawn Game: Chigorin Variation","Queen's Pawn Game",1183,"10","Classical"
"21","TRUE",64,"resign","black","10+10","biyanivedant01",1358,"shivangithegenius",1036,"Sicilian Defense: Smith-Morra Gambit #2","Sicilian Defense",1197,"10","Classical"
"22","TRUE",64,"mate","black","10+10","rv0209",1200,"shivangithegenius",1002,"Sicilian Defense: Canal Attack |  Main Line","Sicilian Defense",1101,"10","Classical"
"23","TRUE",54,"resign","white","10+10","vihaandumir",1203,"shivangithegenius",1019,"Sicilian Defense","Sicilian Defense",1111,"10","Classical"
"24","FALSE",11,"resign","white","18+0","medovich",1422,"shivangithegenius",975,"Sicilian Defense: Bowdler Attack","Sicilian Defense",1198.5,"18","Classical"
